districtCode,districtName,regionCode
6,HOIMA,UG4
113,KAGADI,UG4
114,KAKUMIRO,UG4
126,KIKUUBE,UG4
145,HOIMA CITY,UG4
16,KIBAALE,UG4
25,MASINDI,UG4
73,BULIISA,UG4
92,KIRYANDONGO,UG4
17,KIBOGA,UG1
23,LUWEERO,UG1
44,NAKASONGOLA,UG1
47,KAYUNGA,UG1
69,NAKASEKE,UG1
93,KYANKWANZI,UG1
100,KALUNGU,UG1
105,LWENGO,UG1
11,KALANGALA,UG1
119,KYOTERA,UG1
125,KASSANDA,UG1
141,MASAKA CITY,UG1
24,MASAKA,UG1
30,MPIGI,UG1
31,MUBENDE,UG1
36,RAKAI,UG1
45,SSEMBABULE,UG1
68,MITYANA,UG1
80,LYANTONDE,UG1
91,GOMBA,UG1
98,BUKOMANSIMBI,UG1
99,BUTAMBALA,UG1
108,NGORA,UG2
124,KAPELEBYONG,UG2
129,KALAKI,UG2
146,SOROTI CITY,UG2
21,KUMI,UG2
38,SOROTI,UG2
43,KATAKWI,UG2
54,KABERAMAIDO,UG2
58,AMURIA,UG2
79,BUKEDEA,UG2
97,SERERE,UG2
102,KIBUKU,UG2
104,KWEEN,UG2
118,BUTEBO,UG2
120,NAMISINDWA,UG2
14,KAPCHORWA,UG2
142,MBALE CITY,UG2
26,MBALE,UG2
35,PALLISA,UG2
39,TORORO,UG2
42,BUSIA,UG2
51,SIRONKO,UG2
59,BUKWO,UG2
60,BUTALEJA,UG2
67,MANAFWA,UG2
72,BUDAKA,UG2
78,BUDUDA,UG2
89,BULAMBULI,UG2
12,KAMPALA,UG1
32,MUKONO,UG1
52,WAKISO,UG1
82,BUIKWE,UG1
90,BUVUMA,UG1
107,NAPAK,UG3
128,NABILATUK,UG3
130,KARENGA,UG3
20,KOTIDO,UG3
28,MOROTO,UG3
56,NAKAPIRIPIRIT,UG3
63,KAABONG,UG3
70,ABIM,UG3
81,AMUDAT,UG3
7,IGANGA,UG2
8,JINJA,UG2
123,BUGWERI,UG2
13,KAMULI,UG2
138,JINJA CITY,UG2
41,BUGIRI,UG2
49,MAYUGE,UG2
64,KALIRO,UG2
75,NAMUTUMBA,UG2
83,BUYENDE,UG2
94,LUUKA,UG2
95,NAMAYINGO,UG2
3,BUNDIBUGYO,UG4
10,KABAROLE,UG4
117,BUNYANGABU,UG4
132,KITAGWENDA,UG4
139,FORT PORTAL CITY,UG4
15,KASESE,UG4
46,KAMWENGE,UG4
48,KYENJOJO,UG4
84,KYEGEGWA,UG4
96,NTOROKO,UG4
1,APAC,UG3
5,GULU,UG3
103,KOLE,UG3
110,NWOYA,UG3
111,AGAGO,UG3
115,OMORO,UG3
127,KWANIA,UG3
137,GULU CITY,UG3
144,LIRA CITY,UG3
19,KITGUM,UG3
22,LIRA,UG3
50,PADER,UG3
57,AMOLATAR,UG3
71,AMURU,UG3
74,DOKOLO,UG3
76,OYAM,UG3
85,LAMWO,UG3
86,OTUKE,UG3
88,ALEBTONG,UG3
4,BUSHENYI,UG4
9,KABALE,UG4
101,SHEEMA,UG4
106,MITOOMA,UG4
109,BUHWEJU,UG4
112,RUBIRIZI,UG4
116,RUBANDA,UG4
122,RUKIGA,UG4
131,KAZO,UG4
135,RWAMPARA,UG4
140,MBARARA CITY,UG4
18,KISORO,UG4
27,MBARARA,UG4
34,NTUNGAMO,UG4
37,RUKUNGIRI,UG4
55,KANUNGU,UG4
61,IBANDA,UG4
62,ISINGIRO,UG4
65,KIRUHURA,UG4
2,ARUA,UG3
121,PAKWACH,UG3
133,MADI-OKOLLO,UG3
134,OBONGI,UG3
136,ARUA CITY,UG3
143,TEREGO,UG3
29,MOYO,UG3
33,NEBBI,UG3
40,ADJUMANI,UG3
53,YUMBE,UG3
66,KOBOKO,UG3
77,MARACHA,UG3
87,ZOMBO,UG3
